City,Price
MDINA,1
ZEJTUN,2
ZEBBUG (Malta),3
QORMI,4
RABAT (Victoria),5
ATTARD,6
BALZAN,7
FGURA,8
BIRKIRKARA,9
FONTANA,10
GHARGHUR,11
GUDJA,12
HAMRUN,13
IKLIN,14
GHAXAQ,15
KIRKOP,16
LIJA,17
MOSTA,18
MQABBA,19
SAFI,20
LUQA,21
SANTA LUCIJA,22
SANTA VENERA,23
SAN GWANN,24
SWIEQI,25
TARXIEN,26
XEWKIJA,27
PEMBROKE,28
GZIRA,29
SLIEMA,30
VALLETTA,31
TA' XBIEX,32
PIETA,33
MSIDA,34
SAN PAWL IL-BAHAR,35
MELLIEHA,36
MGARR,37
NAXXAR,38
DINGLI,39
SIGGIEWI,40
BIRZEBBUGIA,41
MARSAXLOKK,42
FLORIANA,43
PAOLA,44
QRENDI,45
ISLA,46
BIRGU,47
KALKARA,48
XGHAJRA,49
BORMLA,50
MARSA,51
ZABBAR,52
MARSASCALA,53
ZURRIEQ,54
QALA,55
XAGHRA,56
ZEBBUG (Ghawdex),57
GHASRI,58
GHARB,59
GHAJNSIELEM,60
KERCEM,61
MUNXAR,62
SAN LAWRENZ,63
MTARFA,64
NADUR,65
SANNAT,66
RABAT (Malta),67
SAN GILJAN,68
